i_m_h_street_name,ta_street,result_name
קהילת בודפסט,קהילת בודפסט,קהילת בודפסט
קהילת ביאליסטוק,קהילת ביאלסטוק,קהילת ביאליסטוק
קהילת ונציה,קהילת ונציה,קהילת ונציה
קהילת ורשה,קהילת ורשה,קהילת ורשה
קהילת ז'יטומיר,קהילת ז'יטומיר,קהילת ז'יטומיר
קהילת זגלביה,קהילות זגלמביה,קהילת זגלביה
קהילת יאסי,קהילת יאסי,קהילת יאסי
קהילת לבוב,קהילת לבוב,קהילת לבוב
קהילת לודג',קהילת לודג',קהילת לודג'
קהילת מכסיקו,קהילת מקסיקו,קהילת מכסיקו
קהילת ניו יורק,קהילת ניו יורק,קהילת ניו יורק
קהילת סאלוניקי,קהילת סלוניקי,קהילת סאלוניקי
קהילת סופיה,קהילת סופיה,קהילת סופיה
קהילת עדן,קהילת עדן,קהילת עדן
קהילת פאדובה,קהילת פאדובה,קהילת פאדובה
קהילת פוזנא,קהילת פוזנא,קהילת פוזנא
קהילת קיוב,קהילת קייב,קהילת קיוב
קהילת קליבלנד,קהילת קליבלנד,קהילת קליבלנד
קהילת קנדה,קהילת קנדה,קהילת קנדה
קהילת ריגא,קהילת ריגה,קהילת ריגא
קובנר אבא,קובנר אבא,קובנר אבא
קויפמן יחזקאל,קויפמן יחזקאל,קויפמן יחזקאל
קול משה,קול משה,קול משה
קוממיות,קוממיות,קוממיות
קומפרט,קומפרט,קומפרט
קוסובסקי,קוסובסקי,קוסובסקי
קוץ' אדוארד,אד קוץ',קוץ' אדוארד
קורדובה,קורדובה,קורדובה
קורדובירו,קורדובירו,קורדובירו
קורולנקו,קורולנקו,קורולנקו
קורט טוכולסקי,טוכולסקי קורט,קורט טוכולסקי
קורצ'אק יאנוש,קורצ'אק יאנוש,קורצ'אק יאנוש
קורקידי,קורקידי,קורקידי
קיוסו אלברט,קיוסו אלברט,קיוסו אלברט
קיציס יוסף,קיציס יוסף,קיציס יוסף
קיש,קישון אפרים,קיש
קלוזנר,קלוזנר,קלוזנר
קלונימוס,קלונימוס,קלונימוס
קליי,קליי,קליי
קלישר,קלישר,קלישר
קלמן,קלמן,קלמן
קלצ'קין,קלצ'קין,קלצ'קין
קמואל,קמואל,קמואל
קפאח יחיה,קאפח יחיה,קפאח יחיה
קפלן,קפלן אליעזר,קפלן
קפלנסקי,קפלנסקי,קפלנסקי
קפריסין,קפריסין,קפריסין
קרוא ברוך,קרוא ברוך,קרוא ברוך
קרייתי,קרייתי,קרייתי
קרית ספר,קרית ספר,קרית ספר
קרית עתידים,"ק""ם",קרית עתידים
קרית שאול,קרית שאול,קרית שאול
קרליבך,קרליבך,קרליבך
קרמניצקי,קרמניצקי,קרמניצקי
קרן היסוד,קרן היסוד,קרן היסוד
קרן קיימת לישראל,קרן קיימת לישראל,קרן קיימת לישראל
קרני יהודה,קרני יהודה,קרני יהודה
קשאני אליעזר,קשאני אליעזר,קשאני אליעזר
"ראב""ד","ראב""ד","ראב""ד"
ראם,ראם,ראם
ראסין ז'אן,ראסין ז'אן,ראסין ז'אן
ראש פינה,ראש פינה,ראש פינה
ראשון לציון,ראשון לציון,ראשון לציון
ראשית חכמה,ראשית חכמה,ראשית חכמה
רב אלוף דוד אלעזר,אלוף,רב אלוף דוד אלעזר
רב אלוף יעקב דורי,דורי יעקב (רב אלוף),רב אלוף יעקב דורי
רב אשי,רב אשי,רב אשי
רב האי גאון,רב האי גאון,רב האי גאון
רב צעיר,רב צעיר,רב צעיר
רבי אחא,רבי אחא,רבי אחא
רבי חנינא,רבי חנינא,רבי חנינא
רבי מאיר,רבי מאיר,רבי מאיר
רבי מאיר בעל הנס,רבי מאיר בעל הנס,רבי מאיר בעל הנס
רבי נחמן,רבי נחמן,רבי נחמן
רבי עקיבא,רבי עקיבא,רבי עקיבא
רבי פנחס,רבי פנחס,רבי פנחס
רבי תנחום,רבי תנחום,רבי תנחום
רביבים,רביבים,רביבים
"רבינוביץ שפ""ר","רבינוביץ שפ""ר","רבינוביץ שפ""ר"
רבן גמליאל,רבן גמליאל,רבן גמליאל
רבנו חננאל,רבנו חננאל,רבנו חננאל
רבנו ירוחם,רבנו ירוחם,רבנו ירוחם
רבנו תם,רבנו תם,רבנו תם
רבניצקי,רבניצקי,רבניצקי
"רד""ק",ד',"רד""ק"
רדינג,רדינג,רדינג
רובין ראובן,רובין ראובן,רובין ראובן
רובין שלמה,רובין שלמה,רובין שלמה
רובינא חנה,רובינא חנה,רובינא חנה
רובינשטין,רובינשטין יצחק,רובינשטין
רודנסקי שמואל,רודנסקי שמואל,רודנסקי שמואל
רוזן פנחס,רוזן פנחס,רוזן פנחס
רוזנבאום,רוזנבאום,רוזנבאום
רוזנבלום הרצל,"רוזנבלום הרצל ד""ר",רוזנבלום הרצל
רוזנבלום יאיר,רוזנבלום יאיר,רוזנבלום יאיר
רוזנבלט צבי,רוזנבלט צבי,רוזנבלט צבי
רוזנפלד שלום,רוזנפלד שלום,רוזנפלד שלום
רוחמה,רוחמה,רוחמה
רוטנשטרייך,רוטנשטרייך,רוטנשטרייך
רוממה,רוממה,רוממה
רומנו,רומנו מרדכי,רומנו
רומנילי,רומנילי,רומנילי
רוני,רוני,רוני
רוסלאן,רוסלאן,רוסלאן
רופא המחתרות,רופא המחתרות,רופא המחתרות
רופין,רופין,רופין
רוקח שמעון,רוקח שמעון,רוקח שמעון
רות,רות,רות
רזיאל,רזיאל דוד,רזיאל
רח 1019,1019,רח 1019
רח 1062,ח',רח 1062
רח 1081,ח',רח 1081
רח 1096,ח',רח 1096
רח 1098,1098,רח 1098
רח 1103,ח',רח 1103
רח 1104,ח',רח 1104
רח 1105,ח',רח 1105
רח 1107,ח',רח 1107
רח 1108,ח',רח 1108
רח 1115,1115,רח 1115
רח 1116,1116,רח 1116
רח 1118,ח',רח 1118
רח 1174,1174,רח 1174
רח 1184,ח',רח 1184
רח 1185,ח',רח 1185
רח 1188,ח',רח 1188
רח 1206,ח',רח 1206
רח 1211,ח',רח 1211
רח 1213,ח',רח 1213
רח 1223,ח',רח 1223
רח 1243,ח',רח 1243
רח 1246,ח',רח 1246
רח 1254,ח',רח 1254
רח 1260,ח',רח 1260
רח 1265,ח',רח 1265
רח 1271,ח',רח 1271
רח 1274,1274,רח 1274
רח 1275,ח',רח 1275
רח 1276,ח',רח 1276
רח 1277,1277,רח 1277
רח 1278,ח',רח 1278
רח 1285,ח',רח 1285
רח 1302,ח',רח 1302
רח 2003,ח',רח 2003
רח 2005,ח',רח 2005
רח 2007,ח',רח 2007
רח 2040,ח',רח 2040
רח 2080,ח',רח 2080
רח 211,ח',רח 211
רח 2139,2139,רח 2139
רח 2150,ח',רח 2150
רח 2170,2170,רח 2170
רח 2184,2184,רח 2184
רח 2185,2185,רח 2185
רח 2203,ח',רח 2203
רח 2221,ח',רח 2221
רח 2222,ח',רח 2222
רח 2224,ח',רח 2224
רח 2228,2228,רח 2228
רח 2229,2229,רח 2229
רח 2232,2232,רח 2232
רח 2240,2240,רח 2240
רח 2284,ח',רח 2284
רח 2286,ח',רח 2286
רח 2287,ח',רח 2287
רח 2288,ח',רח 2288
רח 2289,ח',רח 2289
רח 2290,ח',רח 2290
רח 2291,ח',רח 2291
רח 2314,ח',רח 2314
רח 2342,ח',רח 2342
רח 2355,355,רח 2355
רח 2356,356,רח 2356
רח 2357,ח',רח 2357
רח 3040,ח',רח 3040
רח 3053,ח',רח 3053
רח 3055,ח',רח 3055
רח 3070,ח',רח 3070
רח 3071,ח',רח 3071
רח 3083,ח',רח 3083
רח 3142,3142,רח 3142
רח 3172,ח',רח 3172
רח 3175,ח',רח 3175
רח 3178,ח',רח 3178
רח 3210,ח',רח 3210
רח 3226,ח',רח 3226
רח 3241,ח',רח 3241
רח 3288,ח',רח 3288
רח 3312,ח',רח 3312
רח 3320,3320,רח 3320
רח 3321,ח',רח 3321
רח 3338,ח',רח 3338
רח 3358,ח',רח 3358
רח 3361,3361,רח 3361
רח 3377,ח',רח 3377
רח 3382,ח',רח 3382
רח 3383,ח',רח 3383
רח 3404,3404,רח 3404
רח 3406,ח',רח 3406
רח 3408,3408,רח 3408
רח 3429,429,רח 3429
רח 3431,ח',רח 3431
רח 355,355,רח 355
רח 3629,ח',רח 3629
רח 3677,ח',רח 3677
רח 3694,3694,רח 3694
רח 3732,ח',רח 3732
רח 3733,ח',רח 3733
רח 3739,ח',רח 3739
רח 3742,ח',רח 3742
רח 3750,ח',רח 3750
רח 3756,ח',רח 3756
רח 3762,ח',רח 3762
רח 3769,ח',רח 3769
רח 3771,ח',רח 3771
רח 3780,ח',רח 3780
רח 3790,ח',רח 3790
רח 3817,ח',רח 3817
רח 3831,ח',רח 3831
רח 3846,ח',רח 3846
רח 3860,ח',רח 3860
רח 3866,ח',רח 3866
רח 3882,ח',רח 3882
רח 3884,ח',רח 3884
רח 3886,ח',רח 3886
רח 3888,ח',רח 3888
רח 3920,ח',רח 3920
רח 3922,ח',רח 3922
רח 3925,ח',רח 3925
רח 3933,ח',רח 3933
רח 3938,ח',רח 3938
רח 3941,3941,רח 3941
רח 3952,ח',רח 3952
רח 4202,4202,רח 4202
רח 4206,ח',רח 4206
רח 4214,421,רח 4214
רח 4216,421,רח 4216
רח 4224,ח',רח 4224
רח 428,ח',רח 428
רח 454,ח',רח 454
רח 4850,ח',רח 4850
רח 4870,ח',רח 4870
רח 4878,ח',רח 4878
רח 4880,ח',רח 4880
רח 4891,ח',רח 4891
רח 4893,ח',רח 4893
רח 614,ח',רח 614
רח 921,ח',רח 921
רח ב כפר שלם,כפר יונה,רח ב כפר שלם
רח ט כ שלם,"תרס""ט",רח ט כ שלם
רח טז כפר שלם,כפר יונה,רח טז כפר שלם
רח יא כ שלם,"כ""ז",רח יא כ שלם
רח כ כ שלם,"כ""ג יורדי הסירה",רח כ כ שלם
רח כג כפר שלם,כפר יונה,רח כג כפר שלם
רח לא כפר שלם,כפר יונה,רח לא כפר שלם
רח לה כפר שלם,כפר יונה,רח לה כפר שלם
רח לו כפר שלם,כפר יונה,רח לו כפר שלם
רח מו כ שלם,"כ""ז",רח מו כ שלם
רח מח כ שלם,"מח""ל",רח מח כ שלם
רח נא כ שלם,"כ""ז",רח נא כ שלם
רח נד כ שלם,"כ""ז",רח נד כ שלם
רח נז כ שלם,"כ""ז",רח נז כ שלם
רח סא כ שלם,"כ""ז",רח סא כ שלם
רח סה כ שלם,"כ""ז",רח סה כ שלם
רח סו כ שלם,"כ""ז",רח סו כ שלם
רחבת אבוטבול יעקב,אבוטבול יעקב,רחבת אבוטבול יעקב
רחבת לאונרדו,נרדור,רחבת לאונרדו
רחבת מילאנו,מילאנו,רחבת מילאנו
רחבת מרטון ארנסט,מרטון ארנסט,רחבת מרטון ארנסט
רחל,רחל,רחל
רטוש יונתן,רטוש יונתן,רטוש יונתן
"ריב""ל","ריב""ל","ריב""ל"
רייך,רייך,רייך
ריינס,ריינס,ריינס
רייס רפאל,רייס רפאל,רייס רפאל
רייק חביבה,רייק חביבה,רייק חביבה
ריש גלותא,ריש גלותא,ריש גלותא
"רלב""ג","רלב""ג","רלב""ג"
"רמב""ם","רמב""ם","רמב""ם"
רמבה אייזיק,רמבה אייזיק,רמבה אייזיק
רמברנדט,רמברנדט,רמברנדט
רמה,רמה,רמה
רמז דוד,רמז דוד,רמז דוד
"רמח""ל","רמח""ל","רמח""ל"
רמת אביב החדשה,אב,רמת אביב החדשה
"רנ""ק","רנ""ק","רנ""ק"
רענן,רענן,רענן
רפידים,רפידים,רפידים
רציף הירקון,הירקון,רציף הירקון
רציף הרברט סמואל,הרברט סמואל,רציף הרברט סמואל
רקנאטי,רקנאטי ליאון,רקנאטי
"רש""י","רש""י","רש""י"
רשף,רשף,רשף
רשפים,רשפים,רשפים
ש אפקה,"ש""י",ש אפקה
ש חס כ ב ים,"ש""י",ש חס כ ב ים
ש מחל,ח',ש מחל
ש נוה צהל,"ש""י",ש נוה צהל
ש עממי שד ירושלים,ירושלים,ש עממי שד ירושלים
ש צהלה,"ש""י",ש צהלה
ש קרית שלום,"ש""י",ש קרית שלום
ש רמת אביב,אב,ש רמת אביב
ש רמת החיל,"ש""י",ש רמת החיל
"ש""בי יעקב מאור",יעקב,"ש""בי יעקב מאור"
"ש""י","ש""י","ש""י"
"ש""ץ","ש""ץ","ש""ץ"
שאר ישוב,שאר ישוב,שאר ישוב
שארית ישראל,שארית ישראל,שארית ישראל
שבזי,שבזי,שבזי
שבח,שבח,שבח
שבט,שבט,שבט
שבט בנימין,שבט בנימין,שבט בנימין
שבט יהודה,שבט,שבט יהודה
שבטי ישראל,שבטי ישראל,שבטי ישראל
שביל האטד,האטד,שביל האטד
שביל החלב,שביל החלב,שביל החלב
שביל עכו,ו',שביל עכו
שבלים,י',שבלים
שבע השקמים,שבע השקמים,שבע השקמים
שבתאי,שבתאי,שבתאי
שגב,שגב,שגב
שד בן גוריון,בן גוריון,שד בן גוריון
שד בן ציון,בן ציון,שד בן ציון
שד דוד המלך,דוד המלך,שד דוד המלך
"שד הבעש""ט","הבעש""ט","שד הבעש""ט"
שד ההשכלה,השכל,שד ההשכלה
שד הותיקים,הותיקים,שד הותיקים
"שד החי""ל","החי""ל","שד החי""ל"
שד המעפילים,המעפילים,שד המעפילים
שד הציונות,הציונות,שד הציונות
שד הר ציון,הר ציון,שד הר ציון
שד השלכת,השלכת,שד השלכת
שד ושינגטון,ושינגטון,שד ושינגטון
"שד חב""ד","חב""ד","שד חב""ד"
שד חכמי ישראל,חכמי ישראל,שד חכמי ישראל
שד יד לבנים,יד לבנים,שד יד לבנים
שד יהודית,יהודית,שד יהודית
שד ירושלים,ירושלים,שד ירושלים
שד מסריק,ד',שד מסריק
שד נורדאו,נורדאו,שד נורדאו
שד רוטשילד,רוטשילד,שד רוטשילד
שד רוקח,ד',שד רוקח
שד שאול המלך,שאול המלך,שד שאול המלך
שד ששת הימים,ששת הימים,שד ששת הימים
"שד""ל","שד""ל","שד""ל"
"שד' תרס""ט","תרס""ט","שד' תרס""ט"
שדה דב,ד',שדה דב
שדה התעופה שדה דב,גרונר דב,שדה התעופה שדה דב
"שדרות ח""ן","ח""ן","שדרות ח""ן"
שוהם מתתיהו,שוהם מתתיהו,שוהם מתתיהו
שולמית,שולמית,שולמית
שונצינו,שונצינו,שונצינו
שוקן,שוקן זלמן,שוקן
שור,שור משה פרופ',שור
שורר חיים,שורר חיים,שורר חיים
"שז""ר זלמן","שז""ר זלמן","שז""ר זלמן"
"שח""ל","שח""ל","שח""ל"
שטיבל,שטיבל,שטיבל
שטיינר,י',שטיינר
שטינשנידר,שטינשנידר,שטינשנידר
שטנד,שטנד,שטנד
שטראוס,שטראוס,שטראוס
שטרוק,שטרוק,שטרוק
שטריקר,שטריקר,שטריקר
שטרן,שטרן אברהם (יאיר),שטרן
שטרנהרץ,שטרנהרץ,שטרנהרץ
"שי""ר","שי""ר","שי""ר"
שיבת ציון,שיבת ציון,שיבת ציון
שיטרית,שיטרית בכור,שיטרית
שיינקין,י',שיינקין
שייקה דן,ד',שייקה דן
שילה,שילה,שילה
שילר,שילר שלמה,שילר
שינדלר אוסקר,שינדלר אוסקר,שינדלר אוסקר
שיפר,שיפר,שיפר
שיק,אופיר שיקה,שיק
שכ אבו כביר,אב,שכ אבו כביר
שכ גלילות,,שכ גלילות
שכ הארגזים,"כ""ה",שכ הארגזים
שכ התקווה,"כ""ה",שכ התקווה
שכ עזרא,כ',שכ עזרא
שכ שיבת ציון,שיבת ציון,שכ שיבת ציון
שכ תל ברוך,תל ברוך,שכ תל ברוך
שכ' שפירא,שפירא צבי הרמן,שכ' שפירא
"של""ג","של""ג","של""ג"
שלבים,שלבים,שלבים
שלהבית,י',שלהבית
שלוחות,שלוחות,שלוחות
שלום עליכם,שלום עליכם,שלום עליכם
שלומציון המלכה,שלומציון המלכה,שלומציון המלכה
שלונסקי,שלונסקי אברהם,שלונסקי
שלוש,שלוש,שלוש
שלמה המלך,שלמה המלך,שלמה המלך
שלמה קאשי,קאשי שלמה,שלמה קאשי
שלמון,שלמון,שלמון
שם הגדולים,שם הגדולים,שם הגדולים
שמגר,שמגר,שמגר
שמואל בן עדיה,שמואל בן עדיה,שמואל בן עדיה
שמואל הנגיד,שמואל הנגיד,שמואל הנגיד
שמואל ירחינאי,שמואל ירחינאי,שמואל ירחינאי
שמחה,שמחה,שמחה
שמעון בן עזאי,שמעון בן עזאי,שמעון בן עזאי
שמעון הצדיק,שמעון הצדיק,שמעון הצדיק
שמעון התרסי,שמעון התרסי,שמעון התרסי
שמעוני,שמעוני דוד,שמעוני
שמעיה,שמעיה,שמעיה
שמריהו לוין,לוין שמריהו,שמריהו לוין
שמרלינג,שמרלינג,שמרלינג
שמשון,שמשון הגיבור,שמשון
שניאור זלמן,שניאור זלמן,שניאור זלמן
שניצלר,שניצלר,שניצלר
שניצר שמואל,שניצר שמואל,שניצר שמואל
שנקר אריה,שנקר אריה,שנקר אריה
שער ציון,שער ציון,שער ציון
שערי ניקנור,שערי ניקנור,שערי ניקנור
שערי תשובה,שערי תשובה,שערי תשובה
שפינוזה,שפינוזה,שפינוזה
שפירא צבי,שפירא צבי הרמן,שפירא צבי
שפע טל,שפע טל,שפע טל
שפרינצק,שפרינצק,שפרינצק
שץ גגה גרשון,גרשון שץ גגה,שץ גגה גרשון
שקד,שקד,שקד
שריד,שריד,שריד
שרירא גאון,שרירא גאון,שרירא גאון
שרת משה,שרת משה,שרת משה
ששון,ששון,ששון
שתולים,שתולים,שתולים
שתי האחיות,שתי האחיות,שתי האחיות
תבואות הארץ,תבואות הארץ,תבואות הארץ
תבין אלי,תבין אלי,תבין אלי
תג'ר ציונה,תג'ר ציונה,תג'ר ציונה
תדהר דוד,תדהר דוד,תדהר דוד
תובל,תובל,תובל
תוספתא,תוספתא,תוספתא
תוצרת הארץ,תוצרת הארץ,תוצרת הארץ
תושיה,תושיה,תושיה
תות,תות,תות
תחכמוני,תחכמוני,תחכמוני
תחנה מרכזית,,תחנה מרכזית
תחנה מרכזית החדשה,,תחנה מרכזית החדשה
תל אביב - יפו,אב,תל אביב - יפו
תל ברוך,תל ברוך,תל ברוך
תל גבורים,תל גבורים,תל גבורים
תל חי,תל חי,תל חי
תל חיים,י',תל חיים
תמוז,תמוז,תמוז
תמיר שמואל,תמיר שמואל,תמיר שמואל
תמנע,תמנע,תמנע
תמריר,תמריר,תמריר
תפוח,תפוח,תפוח
תקוע,תקוע,תקוע
תרדיון,תרדיון,תרדיון
"תרמ""ב","תרמ""ב","תרמ""ב"
"תרצ""ו","תרצ""ו","תרצ""ו"
תרצה,תרצה,תרצה
"תש""ח","תש""ח","תש""ח"
תשבי,תשבי,תשבי
תשרי,תשרי,תשרי
,trechov,trechov
,החותרים,החותרים
,בגין מנחם,בגין מנחם
,שער הגיא,שער הגיא
,רוזאניס,רוזאניס
,נתיבי אילון צפון,נתיבי אילון צפון
,בית אורן,בית אורן
,אולשן יצחק,אולשן יצחק
,4155,4155
,גופר,גופר
,4827,4827
,מסקין אהרון,מסקין אהרון
,מגשימים,מגשימים
,רוזין יהושע,רוזין יהושע
,זליג,זליג
,שפיה,שפיה
,אלקחי מרדכי,אלקחי מרדכי
,"חי""ש","חי""ש"
,טאגור רבינדרנת,טאגור רבינדרנת
,ברודי חיים,ברודי חיים
,נח מרדכי עמנואל,נח מרדכי עמנואל
,אוניקובסקי פרץ,אוניקובסקי פרץ
,ארצי יצחק,ארצי יצחק
,בית חורון,בית חורון
,975,975
,קהילת בריסק,קהילת בריסק
,קהילת צ'רנוביץ,קהילת צ'רנוביץ
,סומו יהודה,סומו יהודה
,שלוש משה,שלוש משה
,רמות נפתלי,רמות נפתלי
,תירוש,תירוש
,השושנים,השושנים
,בת חן,בת חן
,נהריים,נהריים
,פרלשטיין פסיה ויעקב,פרלשטיין פסיה ויעקב
,רבדים,רבדים
,912,912
,1221,1221
,2172,2172
,2233,2233
,2188,2188
,ניסן כהן,ניסן כהן
,קרפל ליפא,קרפל ליפא
,קהילת קובנה,קהילת קובנה
,הרבסט קרול,הרבסט קרול
,מיזאן,מיזאן
,המאירי אביגדור,המאירי אביגדור
,אנכי,אנכי
,בוקשפן דוד,בוקשפן דוד
,קרויס,קרויס
,פטאי יוסף,פטאי יוסף
,טורטשינר,טורטשינר
,שבט גד,שבט גד
,שבט ראובן,שבט ראובן
,שבט אשר,שבט אשר
,שבט יוסף,שבט יוסף
,שבט יששכר,שבט יששכר
,עובדיה הנביא,עובדיה הנביא
,עין גדי,עין גדי
,זנגביל ישראל,זנגביל ישראל
,השופט נופך,השופט נופך
,חיותמן,חיותמן
,דנין יחזקאל,דנין יחזקאל
,1279,1279
,זולא אמיל,זולא אמיל
,גורדון יהודה ליב,גורדון יהודה ליב
,615,615
,"בסוק חיים מנחם ד""ר","בסוק חיים מנחם ד""ר"
,התאנה,התאנה
,"יל""ג","יל""ג"
,עם ישראל חי,עם ישראל חי
,יוסט,יוסט
,ברנשטיין כהן,ברנשטיין כהן
,לטריס,לטריס
,ליליאן,ליליאן
,אידלסון,אידלסון
,אלעזר דוד,אלעזר דוד
,קצנלסון יצחק,קצנלסון יצחק
,סטרכילביץ צבי,סטרכילביץ צבי
,קיכלר-זילברמן לנה,קיכלר-זילברמן לנה
,האחים ביילסקי,האחים ביילסקי
,שינקין מנחם,שינקין מנחם
,אנגל,אנגל
,לאן ב',לאן ב'
,אליוט ג'ורג',אליוט ג'ורג'
,מטולה,מטולה
,ויסר חנה ומרדכי,ויסר חנה ומרדכי
,כנרת,כנרת
,רבי יהודה חסיד,רבי יהודה חסיד
,"מיכ""ל","מיכ""ל"
,מיכאלס,מיכאלס
,הרב באזוב דוד,הרב באזוב דוד
,קור פאול (קורנובסקי),קור פאול (קורנובסקי)
,גנני,גנני
,שטיין,שטיין
,כפר סבא,כפר סבא
,שרעבי,שרעבי
,מולכו שלמה,מולכו שלמה
,מולכו,מולכו
,ראשונים,ראשונים
,יחיאלי,יחיאלי
,פארק המסילה,פארק המסילה
,444,444
,פוזילוב רפאל ר',פוזילוב רפאל ר'
,מרד גטו ורשה,מרד גטו ורשה
,המשור,המשור
,שמי יחיאל,שמי יחיאל
,אבן חלדון,אבן חלדון
,דיצה,דיצה
,ברנדט וילי,ברנדט וילי
,אמץ,אמץ
,"יש""ר מקנדיאה","יש""ר מקנדיאה"
,גבעת בן יהודה,גבעת בן יהודה
,בלבן מאיר,בלבן מאיר
,רויגו אברהם,רויגו אברהם
,יהושע בן פרחיה,יהושע בן פרחיה
,אבטליון,אבטליון
,רבי יוחנן,רבי יוחנן
,3350,3350
,3351,3351
,רבי אדא,רבי אדא
,3017,3017
,יוסי בן יוסי,יוסי בן יוסי
,דואר שושנה,דואר שושנה
,ארדון מרדכי,ארדון מרדכי
,הלוי משה,הלוי משה
,הלה טוני,הלה טוני
,אנדרוס,אנדרוס
,מרקיש פרץ,מרקיש פרץ
,המגן,המגן
,המבצעים,המבצעים
,שלושת החיצים,שלושת החיצים
,המצפן,המצפן
,הקרן,הקרן
,הלפיד,הלפיד
,3362,3362
,פלקירה,פלקירה
,קרשקש חסדאי,קרשקש חסדאי
,העוגב,העוגב
,מינקובסקי,מינקובסקי
,רינגלבלום,רינגלבלום
,הדגל,הדגל
,עמיר אנדה (פינקרפלד),עמיר אנדה (פינקרפלד)
,"ניל""י","ניל""י"
,סגל צבי הרמן,סגל צבי הרמן
,3838,3838
,3785,3785
,אליעזר בן הורקנוס,אליעזר בן הורקנוס
,אלעזר בן יוסי,אלעזר בן יוסי
,מזל שור,מזל שור
,מזל תאומים,מזל תאומים
,מזל טלה,מזל טלה
,מזל אריה,מזל אריה
,מזל קשת,מזל קשת
,מזל עקרב,מזל עקרב
,מזל מאזנים,מזל מאזנים
,מזל בתולה,מזל בתולה
,3389,3389
,ישראל מריז'ין,ישראל מריז'ין
,הרבי מלילוב,הרבי מלילוב
,הרבי מקוצק,הרבי מקוצק
,הרבי מקרלין,הרבי מקרלין
,3161,3161
,יסעור,יסעור
,3198,3198
,מרגוע,מרגוע
,3807,3807
,3850,3850
,עאזר אדיל,עאזר אדיל
,גברן חליל גברן,גברן חליל גברן
,הרבי מויטבסק,הרבי מויטבסק
,הרבי מקוטוב,הרבי מקוטוב
,3768,3768
,לונדון בצלאל,לונדון בצלאל
,אמונים,אמונים
,זהבי דוד,זהבי דוד
,"ולבה יואל ד""ר","ולבה יואל ד""ר"
,המפרש,המפרש
,המשוט,המשוט
,רב החובל,רב החובל
,טרומן הרי ס,טרומן הרי ס
,בית רעים,בית רעים
,צנובר,צנובר
,נסאר ג'ורג',נסאר ג'ורג'
,אזוב,אזוב
,צופית,צופית
,לוזים,לוזים
,הלענה,הלענה
,הלימון,הלימון
,עגור,עגור
,עולש,עולש
,השחף,השחף
,עבד אל ראוף אלביטאר,עבד אל ראוף אלביטאר
,חביבי אמיל,חביבי אמיל
,קיי דני (קמינסקי),קיי דני (קמינסקי)
,סייפן,סייפן
,שביב,שביב
,מחפוז נגיב,מחפוז נגיב
,ילדי טהרן,ילדי טהרן
,פופר לינקאוס יוסף,פופר לינקאוס יוסף
,באר יעקב,באר יעקב
,ישיבת וולוז'ין,ישיבת וולוז'ין
,סטרומה,סטרומה
,בית ירח,בית ירח
,מרדכי,מרדכי
,עבאס,עבאס
,סימן טוב,סימן טוב
,גלעזר אליהו,גלעזר אליהו
,בן חסד,בן חסד
,ביתוס,ביתוס
,אבימלך,אבימלך
,קיש פרדריק הרמן,קיש פרדריק הרמן
,בן דוד חיים אלוף,בן דוד חיים אלוף
,"שרמן משה ד""ר","שרמן משה ד""ר"
,רזי,רזי
,נעמן,נעמן
,שרשים,שרשים
,4825,4825
,4837,4837
,רצון,רצון
,צפריר,צפריר
,ריבולוב מנחם,ריבולוב מנחם
