i_m_h_street_name,ta_street,result_name
,צורישדי,צורישדי
,בלשן,בלשן
,גדליה,גדליה
,היימן,היימן
,דגן,דגן
,שיבולים,שיבולים
,קמה,קמה
,פיינברג יוסף,פיינברג יוסף
,צימפל קארל פרידריך,צימפל קארל פרידריך
,השלום,השלום
,ניר עם,ניר עם
,1080,1080
,זכריני,זכריני
,אבני זכרון,אבני זכרון
,דימונה,דימונה
,תעוז,תעוז
,מסלול,מסלול
,מלילות,מלילות
,פרזון,פרזון
,1179,1179
,"ס""ו","ס""ו"
,מסילה ב',מסילה ב'
,מורשת יהדות ליטא,מורשת יהדות ליטא
,נטע,נטע
,רילף יצחק,רילף יצחק
,אריסטובול,אריסטובול
,אלעזר החורני,אלעזר החורני
,אביגור,אביגור
,חבקין,חבקין
,שבט שמעון,שבט שמעון
,אריכא יוסף,אריכא יוסף
,שמיר,שמיר
,גזית,גזית
,גנתון,גנתון
,מנחם לילי,מנחם לילי
,אמנון ותמר,אמנון ותמר
,נורית,נורית
,979,979
,זרובבל יעקב,זרובבל יעקב
,שניר,שניר
,856,856
,977,977
,צ'מרינסקי ברוך,צ'מרינסקי ברוך
,מרגלית מאיר,מרגלית מאיר
,2140,2140
,יוסף האפרתי,יוסף האפרתי
,"יוצ""ר","יוצ""ר"
,האספרגוס,האספרגוס
,הדמומית,הדמומית
,הרקפת,הרקפת
,גונן,גונן
,1193,1193
,1194,1194
,יונדב,יונדב
,מאירבר,מאירבר
,גלאנץ ליב,גלאנץ ליב
,החזיון,החזיון
,כהן עופר,כהן עופר
,ליענר שלמה,ליענר שלמה
,חנאניא יעקוב ג'ורג',חנאניא יעקוב ג'ורג'
,קהילת אוסטרליה,קהילת אוסטרליה
,מנדלשטם אוסיפ,מנדלשטם אוסיפ
,שטינברג,שטינברג
,"מלבי""ם","מלבי""ם"
,1133,1133
,שלזינגר,שלזינגר
,אליאש מרים,אליאש מרים
,הפרטיזן היהודי,הפרטיזן היהודי
,הרודיון,הרודיון
,צ'רצ'יל וינסטון סר,צ'רצ'יל וינסטון סר
,1273,1273
,אלטמן אריה,אלטמן אריה
,ברגי בנימין,ברגי בנימין
,1024,1024
,מונש ג'ון סר,מונש ג'ון סר
,השנית,השנית
,3357,3357
,4834,4834
,הופנקו משה,הופנקו משה
,זרת,זרת
,4832,4832
,ישרש,ישרש
,פלג,פלג
,1121,1121
,כיסופים,כיסופים
,1237,1237
,1239,1239
,1238,1238
,רוקח ישראל,רוקח ישראל
,בר הופמן,בר הופמן
,מעוז,מעוז
,זרעים,זרעים
,ברתנא מרדכי,ברתנא מרדכי
,2008,2008
,סטארה אלברט,סטארה אלברט
,אבנר מאיר,אבנר מאיר
,אגריפס,אגריפס
,עמדן יעקב,עמדן יעקב
,החובבים,החובבים
,"נ""ס","נ""ס"
,אטאטורק כמאל מוצטפה,אטאטורק כמאל מוצטפה
,3783,3783
,3812,3812
,החיטה,החיטה
,הקיקיון,הקיקיון
,693,693
,אביצור שמואל,אביצור שמואל
,דה רוטשילד בת שבע,דה רוטשילד בת שבע
,יריחו,יריחו
,1130,1130
,668,668
,1099,1099
,1100,1100
,אלו מציאות,אלו מציאות
,ב' בנובמבר,ב' בנובמבר
,הכנסת,הכנסת
,1240,1240
,לשם,לשם
,הגינה,הגינה
,האור,האור
,443,443
,התעודה האדומה,התעודה האדומה
,טימן יעקב,טימן יעקב
,לוי שלום אהרון,לוי שלום אהרון
,מוהר יחיאל,מוהר יחיאל
,שוהם צילה,שוהם צילה
,נמרי דוידקה,נמרי דוידקה
,אליאב בנימין (לובוצקי),אליאב בנימין (לובוצקי)
,ליכטר יהושע,ליכטר יהושע
,ונטורה משה,ונטורה משה
,"ד""ר גסטר משה","ד""ר גסטר משה"
,שרעבי שלום,שרעבי שלום
,סגל ירושלים,סגל ירושלים
,בלומנפלד קורט יהודה,בלומנפלד קורט יהודה
,מילר כהן אניטה,מילר כהן אניטה
,גורלסקי ברוך,גורלסקי ברוך
,"מיכאלי יצחק ד""ר","מיכאלי יצחק ד""ר"
,שלום גרשום,שלום גרשום
,בור נילס,בור נילס
,"הופמן יעקב ד""ר","הופמן יעקב ד""ר"
,אג'ימן ישעיהו,אג'ימן ישעיהו
,סחרוב אנדרי,סחרוב אנדרי
,יששכרוב חי,יששכרוב חי
,מייטוס אליהו,מייטוס אליהו
,כץ בן-ציון,כץ בן-ציון
,חלד יוסף,חלד יוסף
,חדד סעדיא,חדד סעדיא
,חניתה,חניתה
,אנוסי משהד,אנוסי משהד
,סילמן יהודה קדיש,סילמן יהודה קדיש
,אהרון טוב משה,אהרון טוב משה
,הצפורן,הצפורן
,החרצית,החרצית
,הכלנית,הכלנית
,הנרקיס,הנרקיס
,"הרץ יוסף צבי ד""ר","הרץ יוסף צבי ד""ר"
,יעוד ודרך,יעוד ודרך
,חכם שמעון,חכם שמעון
,פילץ אריה,פילץ אריה
,בית קשת,בית קשת
,קמינסקה,קמינסקה
,3662,3662
,עטרות,עטרות
,באסולה,באסולה
,אבישי,אבישי
,הלמד הא,הלמד הא
,טובים עמנואל,טובים עמנואל
,חוני המעגל,חוני המעגל
,עזריה מן האדומים,עזריה מן האדומים
,מוסנזון בן-ציון דר',מוסנזון בן-ציון דר'
,יוחנן הגדי,יוחנן הגדי
,מטמון כהן,מטמון כהן
,גוש חלב,גוש חלב
,חולדה,חולדה
,"יהל""ל","יהל""ל"
,ברסלבי יוסף (ברסלבסקי),ברסלבי יוסף (ברסלבסקי)
,לויד ג'ורג',לויד ג'ורג'
,ביליס מנחם מנדל,ביליס מנחם מנדל
,נפחא יצחק,נפחא יצחק
,יבנאל,יבנאל
,היכל התלמוד,היכל התלמוד
,בית הבד,בית הבד
,"רשי""ף (ר' שמואל יוסף פין)","רשי""ף (ר' שמואל יוסף פין)"
,פרנקל ידידיה,פרנקל ידידיה
,סגולה,סגולה
,שמעון בן גמליאל,שמעון בן גמליאל
,הפנינים,הפנינים
,לוינסון אברהם,לוינסון אברהם
,בן צדוק אלעזר,בן צדוק אלעזר
,חנינא בן תרדיון,חנינא בן תרדיון
,סוגיהרה סמפו,סוגיהרה סמפו
,יציץ,יציץ
,בן אברהם נחמיה,בן אברהם נחמיה
,חילו יצחק,חילו יצחק
,עין גב,עין גב
,יניב,יניב
,קלמר משה,קלמר משה
,רבינא,רבינא
,זטורי משה,זטורי משה
,קיסריה,קיסריה
,2213,2213
,המשנה,המשנה
,זיקים,זיקים
,התרסי,התרסי
,פרויד,פרויד
,2131,2131
,שפירא ישראל,שפירא ישראל
,666,666
,"ל""ו","ל""ו"
,"קק""ל","קק""ל"
,9010,9010
,9012,9012
,הולכי רגל,הולכי רגל
,דריבסטור רגלי בלבד,דריבסטור רגלי בלבד
,9024,9024
,מנדלסון הינריך פרופ',מנדלסון הינריך פרופ'
,דרך לוד 2,דרך לוד 2
,טייסים,טייסים
,9041,9041
,9046,9046
,לב דיזנגוף(צפון),לב דיזנגוף(צפון)
,כיכר אתרים (רגלי),כיכר אתרים (רגלי)
,הילטון גן העצמאות,הילטון גן העצמאות
,מרכז גולדה(רגלי),מרכז גולדה(רגלי)
,נ איילון-רכבת צ,נ איילון-רכבת צ
,רגלי מעל הירקון,רגלי מעל הירקון
,פרק הירקון ציפורי,פרק הירקון ציפורי
,בבלי(עץ) על הירקון,בבלי(עץ) על הירקון
,9057,9057
,632,632
,1183,1183
,1186,1186
,"זיע""א יוסף חיים","זיע""א יוסף חיים"
,קק'ל-נתיבי-אילון,קק'ל-נתיבי-אילון
,9011,9011
,נתיבי אילון דרום,נתיבי אילון דרום
,רוקח נמיר,רוקח נמיר
,בר יהודה,בר יהודה
,9027,9027
,איילון צפון(רכבת),איילון צפון(רכבת)
,9029,9029
,9045,9045
,9059,9059
,9026,9026
,1330,1330
,818,818
,סמאטס,סמאטס
,4838,4838
,אבולעפיה רבקה ושלמה,אבולעפיה רבקה ושלמה
,1280,1280
,מזל גדי,מזל גדי
,משפחת חלפי,משפחת חלפי
,טייב יצחק,טייב יצחק
,מקראי קדש,מקראי קדש
,אנקאווא רפאל הרב,אנקאווא רפאל הרב
,ברלינר,ברלינר
,1073,1073
,הרב זעפראני שלמה,הרב זעפראני שלמה
,פינקל שמעון,פינקל שמעון
,ברנשטיין לאונרד,ברנשטיין לאונרד
,הסוכנות,הסוכנות
,"הרנ""ה","הרנ""ה"
,2217,2217
,לה גרארדיה 2,לה גרארדיה 2
,געתון,געתון
,גרופית,גרופית
,גניגר,גניגר
,2235,2235
,2234,2234
,רכטר זאב אדר',רכטר זאב אדר'
,כרמי דב,כרמי דב
,"הרה""ג יחיא מחבוב","הרה""ג יחיא מחבוב"
,1247,1247
,שירה,שירה
,מזל סרטן,מזל סרטן
,פרנקל זכריה,פרנקל זכריה
,שבט דן,שבט דן
,"ד""ר צ'רטוק שמשון","ד""ר צ'רטוק שמשון"
,ברון עקיבא,ברון עקיבא
,הנופש,הנופש
,זלדה (שניאורסון מישקובסקי),זלדה (שניאורסון מישקובסקי)
,3885,3885
,טאג'יר שמואל וסולטנה,טאג'יר שמואל וסולטנה
,קפלן יעקב הארכאולוג,קפלן יעקב הארכאולוג
,שמעון הבורסקי,שמעון הבורסקי
,4831,4831
,4830,4830
,4843,4843
,"נ""ו","נ""ו"
,חננאל אשר,חננאל אשר
,שדמי נחום,שדמי נחום
,יוספי אופירה,יוספי אופירה
,"נ""א","נ""א"
,"נ""ט","נ""ט"
,אבידן שמעון,אבידן שמעון
,דן שיקה (ישעיהו),דן שיקה (ישעיהו)
,רצאבי זכריה,רצאבי זכריה
,דוד רחל (שרעבי),דוד רחל (שרעבי)
,עדה (מימון),עדה (מימון)
,"רי""ז","רי""ז"
,"י""א","י""א"
,"י""ב","י""ב"
,"ס""ב","ס""ב"
,4859,4859
,אפשטיין יעקב,אפשטיין יעקב
,וקנין רפי,וקנין רפי
,4871,4871
,"יעקב שב""י מאור ד'ר","יעקב שב""י מאור ד'ר"
,קלין רלף,קלין רלף
,סנהדראי טובה,סנהדראי טובה
,3407,3407
,3889,3889
,ידין יוסי,ידין יוסי
,"ל""ה","ל""ה"
,הייקל יוסף דר',הייקל יוסף דר'
,ישראלי יצחק,ישראלי יצחק
,דה פיליפ אדיס (אבן זהר),דה פיליפ אדיס (אבן זהר)
,3897,3897
,פשב דימיטר,פשב דימיטר
,מלחי שמעון,מלחי שמעון
,9028,9028
,9023,9023
,קנטור,קנטור
,"אדלר יש""י וברכה","אדלר יש""י וברכה"
,4845,4845
,"י""ז","י""ז"
,צור צבי (צ'רה),צור צבי (צ'רה)
,בוסקוביץ' אלכסנדר אוריה,בוסקוביץ' אלכסנדר אוריה
,אלוני ניסים,אלוני ניסים
,דוש (קריאל גרדוש),דוש (קריאל גרדוש)
,נאמן יובל פרופסור,נאמן יובל פרופסור
,מוקדי משה,מוקדי משה
,שיק ארתור,שיק ארתור
,שויצר דוביד,שויצר דוביד
,רוטלוי דוד,רוטלוי דוד
,בן אליעזר,בן אליעזר
,מ.ברזל ת'א בני ברק איילון,מ.ברזל ת'א בני ברק איילון
,2143,2143
,יוחננוף כהן שמואל,יוחננוף כהן שמואל
,אבידן דויד,אבידן דויד
,4886,4886
,בן-סירה יעקב,בן-סירה יעקב
,"נ""ה","נ""ה"
,זעירא מרדכי,זעירא מרדכי
,משל ירוחם,משל ירוחם
,צפניה,צפניה
,איילון לכוון וולפסון,איילון לכוון וולפסון
,כ.מוולפסון לצפון6200,כ.מוולפסון לצפון6200
,ליפקין שחק- שטח הנמל,ליפקין שחק- שטח הנמל
,3875,3875
,3872,3872
,סטוצ'בסקי יהויכין,סטוצ'בסקי יהויכין
,1063,1063
,קראוס גרטרוד,קראוס גרטרוד
,3731,3731
,3929,3929
,נרדי נחום,נרדי נחום
,ברוך אדם,ברוך אדם
,מרזוק מוחמד,מרזוק מוחמד
,גלבוע אמיר,גלבוע אמיר
,אויסטרך דוד,אויסטרך דוד
,4223,4223
,הרמלין יוסף,הרמלין יוסף
,פרייגרזון צבי,פרייגרזון צבי
,3813 וולובלסקי 2,3813 וולובלסקי 2
,עמיקם אליהו (קשאק),עמיקם אליהו (קשאק)
,מודעי יצחק,מודעי יצחק
,סגל שמוליק,סגל שמוליק
,זליבנסקי דויד הלוי,זליבנסקי דויד הלוי
,"פילדרמן וילהלם ד""ר","פילדרמן וילהלם ד""ר"
,פוחובסקי(לאון)אריה ד,פוחובסקי(לאון)אריה ד
,ברוידס אברהם,ברוידס אברהם
,"ויטנברג (""לאו"")יצחק","ויטנברג (""לאו"")יצחק"
,הוד מרדכי (מוטי) האלוף,הוד מרדכי (מוטי) האלוף
,ע הלל,ע הלל
,גלבלום אריה,גלבלום אריה
,קיסרי אורי,קיסרי אורי
,עמירן עמנואל,עמירן עמנואל
,איתין אהרון,איתין אהרון
,2317,2317
,איזמוז'יק לאה ודויד,איזמוז'יק לאה ודויד
,וינשטיין נחום,וינשטיין נחום
,"פלד (רופין) רות ד""ר","פלד (רופין) רות ד""ר"
,בן-גל מיכאל האלוף,בן-גל מיכאל האלוף
,נרקיס עוזי,נרקיס עוזי
,"לוין שלום  ד""ר","לוין שלום  ד""ר"
,1135,1135
,3429,3429
,צלאן פאול,צלאן פאול
,קורין עזרא,קורין עזרא
,אצטדיון ישן,אצטדיון ישן
,2280,2280
,שרון אריה אדר,שרון אריה אדר
,1235,1235
,3777,3777
,"י""ג","י""ג"
,4826,4826
,הרב עובדיה בידאני,הרב עובדיה בידאני
,4892,4892
,קדמן גורית,קדמן גורית
,מרק יעקב,מרק יעקב
,יצחק שדה 2,יצחק שדה 2
,הלוי ז'ק,הלוי ז'ק
,לבון,לבון
,חופשי דוד,חופשי דוד
,שבע טחנות,שבע טחנות
,יריד המזרח,יריד המזרח
,"ס""א","ס""א"
,התחנה מנשיה,התחנה מנשיה
,נחום הנביא,נחום הנביא
,"מנדלשטם עמנואל ד""ר","מנדלשטם עמנואל ד""ר"
,2370,2370
,שטינמן אליעזר,שטינמן אליעזר
,זמר חנה,זמר חנה
,2362,2362
,3386,3386
,ארסטידס דה סוזה מנדס,ארסטידס דה סוזה מנדס
,טבת,טבת
,3944,3944
,2282,2282
,2381,2381
,יקינתון,יקינתון
,"אוניברסיטת ת""א","אוניברסיטת ת""א"
,3947,3947
,3946,3946
,תערוכה חדש,תערוכה חדש
,הארון אל רשיד,הארון אל רשיד
,גילוץ דבורה ומנחם,גילוץ דבורה ומנחם
,3949,3949
,3931,3931
,השוטר,השוטר
,4897,4897
,גורוכוב ידידיה אדמון,גורוכוב ידידיה אדמון
,דבלין אלפרד,דבלין אלפרד
,כהן חיים השופט,כהן חיים השופט
,כהנוב ז'קלין,כהנוב ז'קלין
,לסר אורי,לסר אורי
,וולקר,וולקר
,ואלין משה,ואלין משה
,מילוא יוסף,מילוא יוסף
,שינמן פנחס,שינמן פנחס
,הראל איסר,הראל איסר
,גורדון אורי,גורדון אורי
,שמאלי אליעזר,שמאלי אליעזר
,ספורטה רפאל,ספורטה רפאל
,אורלנד יעקב,אורלנד יעקב
,אבריאל אהוד,אבריאל אהוד
,2392,2392
,1326,1326
,1327,1327
,1328,1328
,טראב יעקב הרב,טראב יעקב הרב
,2395,2395
,9076,9076
,2397,2397
,שיח בסאם אבו זיד,שיח בסאם אבו זיד
,סתר מרדכי,סתר מרדכי
,שטרייכמן יחזקאל,שטרייכמן יחזקאל
,אלפרין חיים,אלפרין חיים
,קניוק יורם,קניוק יורם
,3930,3930
,3891,3891
,יגאל מוסינזון,יגאל מוסינזון
,לוע הארי,לוע הארי
,דמארי שושנה,דמארי שושנה
,"מוזס ולטר ד""ר","מוזס ולטר ד""ר"
,נמיר- אתרים,נמיר- אתרים
,מ.ברזל תא בני ברק רוקח,מ.ברזל תא בני ברק רוקח
,9025 מברזל,9025 מברזל
,חילו נאדיה,חילו נאדיה
,"דג'אני פואד איסמעיל ד""ר","דג'אני פואד איסמעיל ד""ר"
,יקותיאלי יוסף,יקותיאלי יוסף
,רדינג (ווקופ),רדינג (ווקופ)
,צלפחד,צלפחד
,3919,3919
,גרשוין ג'ורג,גרשוין ג'ורג
,דיק יוסף ג'ורג',דיק יוסף ג'ורג'
,2405,2405
,2406,2406
,פרידמן שרגא,פרידמן שרגא
,לוי-תנאי שרה,לוי-תנאי שרה
,1335,1335
,1336,1336
,1337,1337
,אורי אביבה,אורי אביבה
,אבנור חנה,אבנור חנה
,בוקעי יעקב סגן,בוקעי יעקב סגן
,2409,2409
,שאגאל מארק,שאגאל מארק
,שנברג ארנולד,שנברג ארנולד
,מהלר גוסטב,מהלר גוסטב
,חפץ יאשה,חפץ יאשה
,בלוך ארנסט,בלוך ארנסט
,רובינשטיין ארתור,רובינשטיין ארתור
,אופנבך ז'ק,אופנבך ז'ק
,9078,9078
,אורבוך ג'ניה,אורבוך ג'ניה
,לוין אריה הרב,לוין אריה הרב
,לביא אריק,לביא אריק
,פרנק אנה,פרנק אנה
,2410,2410
,שוסטקוביץ' דמיטרי,שוסטקוביץ' דמיטרי
,2412,2412
,"נ""ז","נ""ז"
,"נ""ח","נ""ח"
,שאקי אבנר פרופ',שאקי אבנר פרופ'
,גריפל יגאל,גריפל יגאל
,1343,1343
,2415,2415
,2416,2416
,גבע יוסף,גבע יוסף
,1345,1345
,5501,5501
,איכילוב,איכילוב
,2385,2385
,קפקא פרנץ,קפקא פרנץ
,פרת עמנואל (מנס),פרת עמנואל (מנס)
,2418,2418
,עילי,עילי
,עמר ג'ו,עמר ג'ו
,"ז""ק משה","ז""ק משה"
,4887,4887
,חודורוב יעקב,חודורוב יעקב
,3954,3954
,"גמזו חיים ד""ר","גמזו חיים ד""ר"
,2420,2420
,עובד,עובד
,דישון,דישון
,3908,3908
,3955,3955
,מוזר יעקב,מוזר יעקב
,1349,1349
,2421,2421
,עמיאל סעדיה פרופסור,עמיאל סעדיה פרופסור
,גרונדמן יעקב (יענקל'ה),גרונדמן יעקב (יענקל'ה)
,המלך אלברט,המלך אלברט
,"אברמוביץ י""מ הרב","אברמוביץ י""מ הרב"
,2424,2424
,תמיר יוסף,תמיר יוסף
,4863,4863
,3937,3937
,3413,3413
,"ט""ז","ט""ז"
,3180,3180
,1352,1352
,1351,1351
,3956,3956
,"ס""ג","ס""ג"
,"מ""א","מ""א"
,"דרך לח""י","דרך לח""י"
,ברתיני גארי,ברתיני גארי
,שמידט יוסף,שמידט יוסף
,1310,1310
,גולדשטיין גורן,גולדשטיין גורן
,מרון חנה,מרון חנה
,עוזרי אהובה,עוזרי אהובה
,3961,3961
,ההשכלה,ההשכלה
,גוטלובר,גוטלובר
,קפלן שלמה המנצח,קפלן שלמה המנצח
,בן יעקב,בן יעקב
,מנדלקרן,מנדלקרן
,שולמן קלמן,שולמן קלמן
,צויפל,צויפל
,קהילת קישינוב,קהילת קישינוב
,3887,3887
,2426,2426
,הקשתות דרך נמיר,הקשתות דרך נמיר
,9015,9015
,סטימצקי אביגדור,סטימצקי אביגדור
,1305,1305
,1339,1339
,1354,1354
,3863,3863
,3381,3381
,כהן כגן רחל,כהן כגן רחל
,4881,4881
,"כ""ד","כ""ד"
,סוסליק אריה,סוסליק אריה
,4898,4898
,ההגנה-נשרי צבי,ההגנה-נשרי צבי
,חסידי אומות עולם,חסידי אומות עולם
,2379,2379
,הניצנים,הניצנים
,הצלף,הצלף
,הצבר,הצבר
,הפרגים,הפרגים
,8101,8101
,8105,8105
,8104,8104
,"תרפ""א","תרפ""א"
,בית יצקר,בית יצקר
,8114,8114
,3966,3966
,8115,8115
,3861,3861
,8116,8116
,8117,8117
,מגד אהרן,מגד אהרן
,8118,8118
,8119,8119
,8121,8121
,8122,8122
,8123,8123
,8124,8124
,8125,8125
,8126,8126
,8127,8127
,8128,8128
,ריינהרט מקס,ריינהרט מקס
,8129,8129
,8130,8130
,8131,8131
,8132,8132
,8133,8133
,8134,8134
,8135,8135
,8136,8136
,8137,8137
,8138,8138
,8139,8139
,8141,8141
,8142,8142
,9079,9079
,8145,8145
,4833,4833
,עמיאל,עמיאל
,הרטגלס,הרטגלס
,2336,2336
,8147,8147
,8418,8418
,8149,8149
,8150,8150
,8151,8151
,8152,8152
,8153,8153
,8154,8154
,הרימון,הרימון
,8155,8155
,8156,8156
,8157,8157
,614,614
,8158,8158
,8159,8159
,8160,8160
,8161,8161
,8162,8162
,8164,8164
,8166,8166
,8167,8167
,8165,8165
,8168,8168
,8170,8170
,8171,8171
,8172,8172
,3789,3789
,8173,8173
,8169,8169
,8174,8174
,8175,8175
,8180,8180
,8181,8181
,8182,8182
,8183,8183
,8184,8184
,8185,8185
,8186,8186
,8187,8187
,8188,8188
,8189,8189
,8190,8190
,8191,8191
,יהודה הצעיר,יהודה הצעיר
,זליגמן מקס,זליגמן מקס
,8212,8212
,8214,8214
,8213,8213
,8225,8225
,8226,8226
,8227,8227
,8228,8228
,8229,8229
,8230,8230
,8178,8178
,8231,8231
,8232,8232
,8233,8233
,8237,8237
,8235,8235
,8239,8239
,8240,8240
,8241,8241
,8238,8238
,8242,8242
,8243,8243
,8245,8245
,8179,8179
,8244,8244
,8246,8246
,8247,8247
,8248,8248
,8249,8249
,8250,8250
,8251,8251
,8252,8252
,8253,8253
,8254,8254
,8255,8255
,צדוק חיים,צדוק חיים
,8256,8256
,8257,8257
,"גדנ""ע","גדנ""ע"
,ביריה,ביריה
,8259,8259
,8258,8258
,8260,8260
,1357,1357
,שטיינר יורק,שטיינר יורק
,8261,8261
,8262,8262
,1356,1356
,8263,8263
,8264,8264
,רוזוב,רוזוב
,8266,8266
,8267,8267
,8268,8268
,גולי אריתראה,גולי אריתראה
,3876,3876
,השרביט,השרביט
,ליבוביץ ישעיהו פרופ',ליבוביץ ישעיהו פרופ'
,גרציאני יצחק (זיקו),גרציאני יצחק (זיקו)
,בלאס שמחה,בלאס שמחה
,בילויה (מעוז),בילויה (מעוז)
,2364,2364
,2363,2363
,3933,3933
,3846,3846
,עזר (יבזרוב) אלכסנדר,עזר (יבזרוב) אלכסנדר
,3967,3967
,3970,3970
,4869,4869
,4870,4870
,צינה דיזנגוף,צינה דיזנגוף
,לצרוס משה,לצרוס משה
,4208,4208
,3335,3335
,לוי יוסף גונדר,לוי יוסף גונדר
,"הטיילת ע""ש שלמה להט","הטיילת ע""ש שלמה להט"
,יעקובוב אוריאל,יעקובוב אוריאל
,בנטוב מרדכי,בנטוב מרדכי
,"הרא""ש","הרא""ש"
,מאור משה,מאור משה
,3780,3780
,3952,3952
,3383,3383
,מתחם פארק החורשות,מתחם פארק החורשות
,3948,3948
,4856,4856
,בן זומא שמעון,בן זומא שמעון
,החלפנים,החלפנים
,3028,3028
,3029,3029
,זלצמן פנינה פרופ',זלצמן פנינה פרופ'
,קהילת קראקוב,קהילת קראקוב
,2440,2440
,1285,1285
,3336,3336
,3021,3021
,3175,3175
,3426,3426
,שפתי ישנים,שפתי ישנים
,3822,3822
,3832,3832
,3917,3917
,אוסישקין(ביילי)גשר ברזל,אוסישקין(ביילי)גשר ברזל
,חריפאי זהרירה,חריפאי זהרירה
,דוד שיפמן,דוד שיפמן
,8146,8146
,בוכמן שרה,בוכמן שרה
,1364,1364
,2390,2390
,2369,2369
,1118,1118
,9075,9075
,השיפון,השיפון
,צפירה ברכה,צפירה ברכה
,8140,8140
,1184,1184
,3895,3895
,עומר דבורה,עומר דבורה
,זינגר בשביס יצחק,זינגר בשביס יצחק
,2398,2398
,2411,2411
,3677,3677
,976,976
,לוין דב השופט,לוין דב השופט
,קהילת ברזיל,קהילת ברזיל
,2444,2444
,2441,2441
,2040,2040
,בתיה (לישנסקי),בתיה (לישנסקי)
,2434,2434
,5500,5500
,3965,3965
,1368,1368
,3883,3883
,רומן רולן,רומן רולן
,2456,2456
,שטרן אייזק,שטרן אייזק
,עמיחי יהודה,עמיחי יהודה
,ישורון אבות,ישורון אבות
,1369,1369
,2438,2438
,2437,2437
,2436,2436
,4884,4884
,האחים אל-כוויתי,האחים אל-כוויתי
,ברלין ישעיה סר,ברלין ישעיה סר
,אלמוג דוד,אלמוג דוד
,"פ""ד","פ""ד"
,4842,4842
,8234,8234
,דון-יחייא שבתי,דון-יחייא שבתי
,אלחנני אריה,אלחנני אריה
,2433,2433
,2430,2430
,2425,2425
,3784,3784
,לנר דן,לנר דן
,הדייגים,הדייגים
,מסריק,מסריק
,פרלוק משה,פרלוק משה
,גז    מטילדה,גז    מטילדה
,1244,1244
,ישראל טל,ישראל טל
,פברגט אנריקה,פברגט אנריקה
,חלץ,חלץ
,2169,2169
,3905,3905
,3903,3903
,1268,1268
,3629,3629
,3615,3615
,3628,3628
,עכו,עכו
,שרים אליהו הרב,שרים אליהו הרב
,ויל קורט,ויל קורט
,1362,1362
,470,470
,3969,3969
,3907,3907
